intercept,sigma2,parameter
0.5109126018446272,0.020968265543104048,mortality_rate
0.5643493567330654,0.017698244931128215,mortality_rate
0.42244941218870136,0.030794505880984945,mortality_rate
0.49965772148140625,0.046925423751272205,mortality_rate
0.5422580452108461,0.03766271661183162,mortality_rate
0.512133878924177,0.027256573606894933,mortality_rate
0.4747387750870728,0.013097191855721354,mortality_rate
0.5050850225994851,0.02037197062801899,mortality_rate
0.6655789254245316,0.04345242808320051,mortality_rate
0.5675825292229902,0.06098707170802576,mortality_rate
0.5347603090898693,0.028160631276322075,mortality_rate
0.5154342343134197,0.021498267684964305,mortality_rate
0.49595512639469425,0.029068764672895327,mortality_rate
0.5501014818666994,0.04517491513786753,mortality_rate
0.47546719210379723,0.020620268923338986,mortality_rate
0.514001654431352,0.016147688594919413,mortality_rate
0.4748462667475307,0.020817460925758917,mortality_rate
0.5321931791831992,0.022312491311008965,mortality_rate
0.45885231578528873,0.04558025036029725,mortality_rate
0.5172168007571561,0.019239042649306398,mortality_rate
0.5116334609396684,0.030343337321973727,mortality_rate
0.49994939133341076,0.009031730071622467,mortality_rate
0.4610065297002459,0.030825539472426382,mortality_rate
0.45986875376906905,0.0163077032461412,mortality_rate
0.5232663612026124,0.021575360112463464,mortality_rate
0.4984659081293073,0.01077506545966028,mortality_rate
0.50634419292707,0.0160766125925241,mortality_rate
0.47660090258675314,0.03840151981323095,mortality_rate
0.5090652640940543,0.024273624251102004,mortality_rate
0.4278379504101814,0.021475381372241874,mortality_rate
0.5229554394345679,0.036276794328457346,mortality_rate
0.4073954002029231,0.07105797925734202,mortality_rate
0.3225090854546495,0.13371882102741023,mortality_rate
0.497213280519681,0.07953357664150482,mortality_rate
0.4964982566023041,0.008955455928059278,mortality_rate
0.5379989229267566,0.019256761290208018,mortality_rate
0.5143653742343328,0.026334930554435386,mortality_rate
0.5415855293884687,0.02858483891406553,mortality_rate
0.4485308585934488,0.03132925000113557,mortality_rate
0.5229594359521708,0.02239962574338075,mortality_rate
0.5055365439248655,0.013023004306909534,mortality_rate
0.5289991946320416,0.01788541661065818,mortality_rate
0.5956689683338433,0.021668244079862665,mortality_rate
0.5658330752055951,0.03752617715063978,mortality_rate
0.4669423153115545,0.018592832622551354,mortality_rate
0.5113835289257106,0.019354324471878365,mortality_rate
0.46851306428784495,0.014975716526812902,mortality_rate
0.5255260166035834,0.01732984006726026,mortality_rate
0.4332272373173573,0.03439797872689757,mortality_rate
0.4642987702656231,0.012251025826962955,mortality_rate
0.4656827106302659,0.015445920939516876,mortality_rate
0.5318625488406564,0.01252250908732009,mortality_rate
0.49376701255926037,0.016003769279308577,mortality_rate
0.5193024166203714,0.020089332675211923,mortality_rate
0.4337206760554142,0.017123936203812615,mortality_rate
0.522453201035244,0.04268168673052418,mortality_rate
0.5493661732465611,0.018224717189549593,mortality_rate
0.41994827272206275,0.026928305165682127,mortality_rate
0.4989419189906998,0.04041011048023222,mortality_rate
0.512097997449729,0.008298873811619192,mortality_rate
0.34795617119789146,0.0873878085106512,mortality_rate
0.6052526917332437,0.07261274935378871,mortality_rate
0.37724086290540293,0.049706359808897475,mortality_rate
0.5254749964932085,0.05912796119282311,mortality_rate
0.4013470594998078,0.01849056442355193,mortality_rate
0.5012528113920628,0.018683831263265976,mortality_rate
0.36222482244599996,0.031621696319188757,mortality_rate
0.48784698116459974,0.03987139810480056,mortality_rate
0.46638598862452746,0.05448833867500177,mortality_rate
0.44159309070197167,0.024702832713750036,mortality_rate
0.5532833727979959,0.034609138967938366,mortality_rate
0.5894238680835955,0.029950529530410996,mortality_rate
0.4954877039138206,0.039118010395340456,mortality_rate
0.4625849212504352,0.014205593115394459,mortality_rate
0.4386456493791405,0.0352153897375639,mortality_rate
0.5003086917833851,0.042791782058032767,mortality_rate
0.6498754962292069,0.03894313686419086,mortality_rate
0.45590333766039687,0.04471733059608218,mortality_rate
0.5108119336192685,0.048175120871671064,mortality_rate
0.5152478624374746,0.007747208306697101,mortality_rate
0.5992233716857613,0.044133243188350144,mortality_rate
0.49977251599507316,0.017290660134401784,mortality_rate
0.44703265528541175,0.019994953055898355,mortality_rate
0.5696742143779846,0.04355353682112379,mortality_rate
0.4356720725778918,0.045170125076265596,mortality_rate
0.5227083205650092,0.015009047956069306,mortality_rate
0.4367621126405333,0.01299787298420309,mortality_rate
0.401678717235756,0.033295650827125656,mortality_rate
0.4782431636722537,0.020785819111047495,mortality_rate
0.5142686684168237,0.021120078193179688,mortality_rate
0.5521424117918007,0.0410563197176918,mortality_rate
0.5737694780351079,0.021246187796203714,mortality_rate
0.45925044844491447,0.042172273077707004,mortality_rate
0.4739123425063745,0.028560556153459725,mortality_rate
0.5296163735778026,0.023268909396268484,mortality_rate
0.4518597742476672,0.018289882915738558,mortality_rate
0.44186912528837463,0.01564137146630563,mortality_rate
0.6362428702863292,0.03495507336295426,mortality_rate
0.6049779721273851,0.052934739586814473,mortality_rate
0.4636341168866922,0.06185038062579588,mortality_rate
0.4312320748198248,0.027330916267521373,mortality_rate
0.4623190969191648,0.010263261440462345,mortality_rate
0.5001136089664574,0.016945028303478337,mortality_rate
0.4298083892201225,0.025221639018059815,mortality_rate
0.5067891222525447,0.009765542842036845,mortality_rate
0.4981958788273844,0.021910151615249274,mortality_rate
0.4755774187044833,0.017932504489756956,mortality_rate
0.44277117719717524,0.010157751190148183,mortality_rate
0.5013700533576908,0.032780190950265506,mortality_rate
0.5134693180559506,0.014567797431006044,mortality_rate
0.533198489520825,0.0169526574393446,mortality_rate
0.4925460507842269,0.015347089859784524,mortality_rate
0.5560011392766344,0.06594030609654665,mortality_rate
0.4651407653852498,0.05784177946860346,mortality_rate
0.42771138208832926,0.022338295786067237,mortality_rate
0.49626570140077625,0.009985236490785046,mortality_rate
0.47331353067323256,0.022754980527877087,mortality_rate
0.4976954966534161,0.015342982891222065,mortality_rate
0.45240297571441734,0.027832242235887695,mortality_rate
0.5327953669221333,0.035420230962433005,mortality_rate
0.3722119503873551,0.024214313164891546,mortality_rate
